Country/Area,Purpose_of_visit_to_Japan,Year,Growth Rate(%),Visitor Arrivals
China,Tourism,1990,,
China,Tourism,1991,,
China,Tourism,1992,,"29,147"
China,Tourism,1993,-9.239372834,"26,454"
China,Tourism,1994,-7.197399259,"24,550"
China,Tourism,1995,3.824847251,"25,489"
China,Tourism,1996,14.916238377,"29,291"
China,Tourism,1997,14.134034345,"33,431"
China,Tourism,1998,6.535849960,"35,616"
China,Tourism,1999,4.315476190,"37,153"
China,Tourism,2000,21.847495492,"45,270"
China,Tourism,2001,59.306383919,"72,118"
China,Tourism,2002,40.462852547,"101,299"
China,Tourism,2003,-5.239933267,"95,991"
China,Tourism,2004,97.614359680,"189,692"
China,Tourism,2005,6.456782574,"201,940"
China,Tourism,2006,47.085768050,"297,025"
China,Tourism,2007,37.121791095,"407,286"
China,Tourism,2008,11.893853459,"455,728"
China,Tourism,2009,5.698135730,"481,696"
China,Tourism,2010,72.650800505,"831,652"
China,Tourism,2011,-45.508217379,"453,182"
China,Tourism,2012,82.974169318,"829,206"
China,Tourism,2013,-15.010624622,"704,737"
China,Tourism,2014,148.826441637,"1,753,572"
China,Tourism,2015,141.673566868,"4,237,920"
China,Tourism,2016,30.609473515,"5,535,125"
China,Tourism,2017,16.487703530,"6,447,740"
China,Tourism,2018,15.174820945,"7,426,173"
China,Tourism,2019,15.476706508,"8,575,500"
China,Tourism,2020,,"804,901"
China,Others,1990,,
China,Others,1991,,
China,Others,1992,,"81,675"
China,Others,1993,5.755739210,"86,376"
China,Others,1994,6.310780772,"91,827"
China,Others,1995,8.802421946,"99,910"
China,Others,1996,12.477229507,"112,376"
China,Others,1997,9.367658575,"122,903"
China,Others,1998,9.374872867,"134,425"
China,Others,1999,11.349079412,"149,681"
China,Others,2000,15.781562122,"173,303"
China,Others,2001,12.043069076,"194,174"
China,Others,2002,13.747978617,"220,869"
China,Others,2003,2.581168023,"226,570"
China,Others,2004,12.306571920,"254,453"
China,Others,2005,0.898397739,"256,739"
China,Others,2006,15.359567499,"296,173"
China,Others,2007,7.681659030,"318,924"
China,Others,2008,5.331991321,"335,929"
China,Others,2009,1.930169768,"342,413"
China,Others,2010,2.398565475,"350,626"
China,Others,2011,12.614295574,"394,855"
China,Others,2012,-8.922009345,"359,626"
China,Others,2013,4.257200536,"374,936"
China,Others,2014,3.018115092,"386,252"
China,Others,2015,9.198398973,"421,781"
China,Others,2016,12.979010434,"476,524"
China,Others,2017,13.564269586,"541,161"
China,Others,2018,8.070056785,"584,833"
China,Others,2019,10.371678753,"645,490"
China,Others,2020,,"95,244"
China,Transit,1990,,
China,Transit,1991,,
China,Transit,1992,,"23,835"
China,Transit,1993,49.700020978,"35,681"
China,Transit,1994,-42.198929402,"20,624"
China,Transit,1995,71.921062839,"35,457"
China,Transit,1996,2.961333446,"36,507"
China,Transit,1997,-2.777549511,"35,493"
China,Transit,1998,-13.442087172,"30,722"
China,Transit,1999,33.126098561,"40,899"
China,Transit,2000,36.399422969,"55,786"
China,Transit,2001,-8.968199907,"50,783"
China,Transit,2002,-22.495717071,"39,359"
China,Transit,2003,-23.666759826,"30,044"
China,Transit,2004,2.050326188,"30,660"
China,Transit,2005,-6.239399870,"28,747"
China,Transit,2006,-9.580130101,"25,993"
China,Transit,2007,,
China,Transit,2008,,
China,Transit,2009,,
China,Transit,2010,,
China,Transit,2011,,
China,Transit,2012,,
China,Transit,2013,,
China,Transit,2014,,
China,Transit,2015,,
China,Transit,2016,,
China,Transit,2017,,
China,Transit,2018,,
China,Transit,2019,,
China,Transit,2020,,
China,Unknown,1990,,"105,993"
China,Unknown,1991,23.109073241,"130,487"
China,Unknown,1992,,
China,Unknown,1993,,
China,Unknown,1994,,
China,Unknown,1995,,
China,Unknown,1996,,
China,Unknown,1997,,
China,Unknown,1998,,
China,Unknown,1999,,
China,Unknown,2000,,
China,Unknown,2001,,
China,Unknown,2002,,
China,Unknown,2003,,
China,Unknown,2004,,
China,Unknown,2005,,
China,Unknown,2006,,
China,Unknown,2007,,
China,Unknown,2008,,
China,Unknown,2009,,
China,Unknown,2010,,
China,Unknown,2011,,
China,Unknown,2012,,
China,Unknown,2013,,
China,Unknown,2014,,
China,Unknown,2015,,
China,Unknown,2016,,
China,Unknown,2017,,
China,Unknown,2018,,
China,Unknown,2019,,
China,Unknown,2020,,
China,Business,1990,,
China,Business,1991,,
China,Business,1992,,"48,563"
China,Business,1993,19.910219715,"58,232"
China,Business,1994,-3.000068691,"56,485"
China,Business,1995,5.973267239,"59,859"
China,Business,1996,5.833709217,"63,351"
China,Business,1997,8.601284905,"68,800"
China,Business,1998,-3.463662791,"66,417"
China,Business,1999,1.184937591,"67,204"
China,Business,2000,15.214868163,"77,429"
China,Business,2001,-4.029497992,"74,309"
China,Business,2002,22.317619669,"90,893"
China,Business,2003,5.813428977,"96,177"
China,Business,2004,46.816806513,"141,204"
China,Business,2005,17.131242741,"165,394"
China,Business,2006,16.379070583,"192,484"
China,Business,2007,12.336090272,"216,229"
China,Business,2008,-3.454670743,"208,759"
China,Business,2009,-12.829626507,"181,976"
China,Business,2010,26.718358465,"230,597"
China,Business,2011,-15.346253420,"195,209"
China,Business,2012,21.033353995,"236,268"
China,Business,2013,-0.636565256,"234,764"
China,Business,2014,14.725426386,"269,334"
China,Business,2015,24.005138601,"333,988"
China,Business,2016,8.361677665,"361,915"
China,Business,2017,1.382092480,"366,917"
China,Business,2018,0.575334476,"369,028"
China,Business,2019,1.185817878,"373,404"
China,Business,2020,,"24,645"
Hong Kong,Tourism,1990,,
Hong Kong,Tourism,1991,,
Hong Kong,Tourism,1992,,"136,040"
Hong Kong,Tourism,1993,-16.667156719,"113,366"
Hong Kong,Tourism,1994,-3.506342290,"109,391"
Hong Kong,Tourism,1995,-42.133265077,"63,301"
Hong Kong,Tourism,1996,111.213093000,"133,700"
Hong Kong,Tourism,1997,70.462976814,"227,909"
Hong Kong,Tourism,1998,39.892237691,"318,827"
Hong Kong,Tourism,1999,-32.420089892,"215,463"
Hong Kong,Tourism,2000,-4.709857377,"205,315"
Hong Kong,Tourism,2001,10.494605850,"226,862"
Hong Kong,Tourism,2002,12.532729148,"255,294"
Hong Kong,Tourism,2003,-10.662608600,"228,073"
Hong Kong,Tourism,2004,19.037325769,"271,492"
Hong Kong,Tourism,2005,-0.872585564,"269,123"
Hong Kong,Tourism,2006,19.801354771,"322,413"
Hong Kong,Tourism,2007,23.965534888,"399,681"
Hong Kong,Tourism,2008,28.398647922,"513,185"
Hong Kong,Tourism,2009,-18.514960492,"418,169"
Hong Kong,Tourism,2010,13.119576057,"473,031"
Hong Kong,Tourism,2011,-29.439508193,"333,773"
Hong Kong,Tourism,2012,34.068963038,"447,486"
Hong Kong,Tourism,2013,58.440040582,"708,997"
Hong Kong,Tourism,2014,25.008709487,"886,308"
Hong Kong,Tourism,2015,67.048475248,"1,480,564"
Hong Kong,Tourism,2016,21.126678752,"1,793,358"
Hong Kong,Tourism,2017,21.602044879,"2,180,760"
Hong Kong,Tourism,2018,-1.119151122,"2,156,354"
Hong Kong,Tourism,2019,3.754578330,"2,237,316"
Hong Kong,Tourism,2020,,"214,948"
Hong Kong,Others,1990,,
Hong Kong,Others,1991,,
Hong Kong,Others,1992,,"5,684"
Hong Kong,Others,1993,-5.823363828,"5,353"
Hong Kong,Others,1994,-15.262469643,"4,536"
Hong Kong,Others,1995,-6.701940035,"4,232"
Hong Kong,Others,1996,-4.229678639,"4,053"
Hong Kong,Others,1997,5.896866519,"4,292"
Hong Kong,Others,1998,5.521901212,"4,529"
Hong Kong,Others,1999,2.539191875,"4,644"
Hong Kong,Others,2000,0.064599483,"4,647"
Hong Kong,Others,2001,-1.721540779,"4,567"
Hong Kong,Others,2002,1.576527261,"4,639"
Hong Kong,Others,2003,-13.602069412,"4,008"
Hong Kong,Others,2004,0.823353293,"4,041"
Hong Kong,Others,2005,2.499381341,"4,142"
Hong Kong,Others,2006,-11.371318204,"3,671"
Hong Kong,Others,2007,-1.498229365,"3,616"
Hong Kong,Others,2008,12.942477876,"4,084"
Hong Kong,Others,2009,7.859941234,"4,405"
Hong Kong,Others,2010,6.946651532,"4,711"
Hong Kong,Others,2011,-6.941201443,"4,384"
Hong Kong,Others,2012,-7.230839416,"4,067"
Hong Kong,Others,2013,15.269240226,"4,688"
Hong Kong,Others,2014,20.968430034,"5,671"
Hong Kong,Others,2015,22.235937224,"6,932"
Hong Kong,Others,2016,30.063473745,"9,016"
Hong Kong,Others,2017,31.898846495,"11,892"
Hong Kong,Others,2018,16.902119072,"13,902"
Hong Kong,Others,2019,12.386706949,"15,624"
Hong Kong,Others,2020,,"1,846"
Hong Kong,Transit,1990,,
Hong Kong,Transit,1991,,
Hong Kong,Transit,1992,,"7,385"
Hong Kong,Transit,1993,6.675693974,"7,878"
Hong Kong,Transit,1994,-20.995176441,"6,224"
Hong Kong,Transit,1995,8.820694087,"6,773"
Hong Kong,Transit,1996,-7.899010778,"6,238"
Hong Kong,Transit,1997,-12.375761462,"5,466"
Hong Kong,Transit,1998,13.574826198,"6,208"
Hong Kong,Transit,1999,-21.585051546,"4,868"
Hong Kong,Transit,2000,-30.813475760,"3,368"
Hong Kong,Transit,2001,-7.927553444,"3,101"
Hong Kong,Transit,2002,-27.700741696,"2,242"
Hong Kong,Transit,2003,-12.667261374,"1,958"
Hong Kong,Transit,2004,-74.055158325,508
Hong Kong,Transit,2005,-94.685039370,27
Hong Kong,Transit,2006,,15
Hong Kong,Transit,2007,,
Hong Kong,Transit,2008,,
Hong Kong,Transit,2009,,
Hong Kong,Transit,2010,,
Hong Kong,Transit,2011,,
Hong Kong,Transit,2012,,
Hong Kong,Transit,2013,,
Hong Kong,Transit,2014,,
Hong Kong,Transit,2015,,
Hong Kong,Transit,2016,,
Hong Kong,Transit,2017,,
Hong Kong,Transit,2018,,
Hong Kong,Transit,2019,,
Hong Kong,Transit,2020,,
Hong Kong,Unknown,1990,,"152,563"
Hong Kong,Unknown,1991,1.657675845,"155,092"
Hong Kong,Unknown,1992,,
Hong Kong,Unknown,1993,,
Hong Kong,Unknown,1994,,
Hong Kong,Unknown,1995,,
Hong Kong,Unknown,1996,,
Hong Kong,Unknown,1997,,
Hong Kong,Unknown,1998,,
Hong Kong,Unknown,1999,,
Hong Kong,Unknown,2000,,
Hong Kong,Unknown,2001,,
Hong Kong,Unknown,2002,,
Hong Kong,Unknown,2003,,
Hong Kong,Unknown,2004,,
Hong Kong,Unknown,2005,,
Hong Kong,Unknown,2006,,
Hong Kong,Unknown,2007,,
Hong Kong,Unknown,2008,,
Hong Kong,Unknown,2009,,
Hong Kong,Unknown,2010,,
Hong Kong,Unknown,2011,,
Hong Kong,Unknown,2012,,
Hong Kong,Unknown,2013,,
